"year","count","tag1","tag2","rank1","rank2"
2017,284,.net,ajax,41,2
2017,927,ajax,android,18,1
2017,338,.net,android,22,3
2017,2833,android,android-asynctask,46,1
2017,3281,android,android-fragment,28,1
2017,2470,android,android-intent,57,2
2017,3816,android,android-layout,11,2
2017,2687,android,android-sqlite,52,2
2017,230,android-layout,android-sqlite,41,4
2017,5401,android,android-studio,3,1
2017,434,android-layout,android-studio,3,4
2017,2409,android,angularjs,58,2
2017,869,ajax,angularjs,20,3
2017,767,android-studio,angularjs,18,4
2017,286,.net,angularjs,39,8
2017,130,android-layout,angularjs,59,10
2017,717,angularjs,angularjs-2.0,36,1
2017,589,ajax,apache,39,1
2017,831,ajax,asp.net,22,2
2017,480,angularjs,asp.net,51,4
2017,426,.net,asp.net,6,5
2017,1075,asp.net,asp.net-mvc,9,1
2017,574,ajax,asp.net-mvc,42,4
2017,339,.net,asp.net-mvc,21,6
2017,301,angularjs,asp.net-mvc,59,8
2017,974,asp.net,asp.net-mvc-5,13,1
2017,494,asp.net-mvc,asp.net-mvc-5,7,5
2017,275,angularjs,asp.net-mvc-5,61,7
2017,272,.net,asp.net-mvc-5,44,8
2017,196,asp.net-mvc,asp.net-web-api,60,2
2017,140,android-layout,bitmap,56,2
2017,1093,ajax,bootstrap,11,1
2017,918,asp.net,bootstrap,16,2
2017,777,angularjs,bootstrap,31,4
2017,721,android-studio,bootstrap,25,6
2017,407,asp.net-mvc,bootstrap,18,9
2017,292,asp.net-mvc-5,bootstrap,21,11
2017,260,.net,bootstrap,48,14
2017,139,android-layout,bottombar,57,2
2017,676,android-studio,c,30,1
2017,3314,android,c#,27,2
2017,1649,asp.net,c#,1,3
2017,949,ajax,c#,16,6
2017,933,android-studio,c#,9,7
2017,667,c,c#,8,8
2017,652,.net,c#,1,10
2017,619,angularjs,c#,43,11
2017,613,asp.net-mvc,c#,2,12
2017,512,bootstrap,c#,24,16
2017,471,asp.net-mvc-5,c#,1,19
2017,183,android-layout,c#,48,22
2017,2018,c#,c++,47,1
2017,897,c,c++,1,3
2017,759,android-studio,c++,20,4
2017,277,bootstrap,c++,55,7
2017,209,.net,c++,64,10
2017,1267,c++,c++11,9,1
2017,471,c,c++11,21,3
2017,772,c++,c++1z,29,1
2017,967,c++,codeblocks,23,1
2017,358,c,codeblocks,41,3
2017,814,ajax,codeigniter,23,1
2017,350,bootstrap,codeigniter,34,2
2017,295,angularjs,cordova,60,2
2017,3557,c#,css,12,1
2017,2947,android,css,38,3
2017,1241,ajax,css,8,5
2017,982,asp.net,css,12,7
2017,912,angularjs,css,17,8
2017,885,android-studio,css,12,9
2017,776,bootstrap,css,9,10
2017,396,asp.net-mvc,css,20,16
2017,351,c,css,42,17
2017,341,.net,css,20,19
2017,336,asp.net-mvc-5,css,11,20
2017,324,codeigniter,css,7,21
2017,185,android-layout,css,47,25
2017,2350,c#,css3,33,2
2017,2239,android,css3,62,3
2017,1653,css,css3,8,5
2017,958,ajax,css3,15,7
2017,758,asp.net,css3,22,9
2017,711,android-studio,css3,27,10
2017,605,bootstrap,css3,16,11
2017,593,angularjs,css3,45,12
2017,301,asp.net-mvc,css3,43,19
2017,268,asp.net-mvc-5,css3,26,20
2017,121,android-layout,css3,61,22
2017,1074,c++,dev-c++,18,1
2017,458,c,dev-c++,23,3
